Модель	Слово	ИП ко-во	ИП сумма	ЛП ко-во	ЛП сумма
cnn	вредно	53	604	1	235	1191
cnn	запрещено	63	974	1	286	1723
cnn	исключено	62	931	2	295	1613
cnn	не_делай	62	783	15	365	2202
cnn	не_надо	65	566	6	299	1490
cnn	не_нужно	62	806	12	313	1674
cnn	не_следует	61	887	3	274	1424
cnn	не_стоит	66	716	8	355	1976
cnn	нельзя	45	325	21	301	1687
cnn	плохая_примета	72	944	7	377	2231
cnn	разве_можно	68	1035	0	301	1662
crnn	вредно	49	724	5	98	613
crnn	запрещено	60	818	4	122	873
crnn	исключено	61	1017	3	147	808
crnn	не_делай	68	697	9	209	1423
crnn	не_надо	48	455	23	127	833
crnn	не_нужно	53	735	21	155	818
crnn	не_следует	60	761	4	116	648
crnn	не_стоит	59	850	15	164	1001
crnn	нельзя	30	185	36	202	1238
crnn	плохая_примета	65	874	14	197	1326
crnn	разве_можно	66	737	2	124	720
dnn	вредно	51	661	3	133	538
dnn	запрещено	63	848	1	174	806
dnn	исключено	61	829	3	204	927
dnn	не_делай	45	336	32	257	1455
dnn	не_надо	64	516	7	153	562
dnn	не_нужно	60	715	14	194	924
dnn	не_следует	60	514	4	198	853
dnn	не_стоит	49	457	25	257	1262
dnn	нельзя	28	133	38	223	1073
dnn	плохая_примета	68	828	11	258	1220
dnn	разве_можно	65	580	3	234	1116
ds_cnn	вредно	51	641	3	126	588
ds_cnn	запрещено	64	1080	0	129	651
ds_cnn	исключено	58	963	6	166	730
ds_cnn	не_делай	61	672	16	225	1218
ds_cnn	не_надо	59	650	12	131	561
ds_cnn	не_нужно	60	768	14	178	986
ds_cnn	не_следует	57	691	7	166	723
ds_cnn	не_стоит	65	983	9	176	704
ds_cnn	нельзя	30	196	36	165	799
ds_cnn	плохая_примета	73	1083	6	181	933
ds_cnn	разве_можно	68	955	0	167	782
gru	вредно	51	696	3	119	638
gru	запрещено	64	1134	0	89	515
gru	исключено	57	960	7	172	876
gru	не_делай	65	749	12	201	1396
gru	не_надо	58	726	13	157	722
gru	не_нужно	56	716	18	166	984
gru	не_следует	57	735	7	121	673
gru	не_стоит	61	774	13	162	1006
gru	нельзя	44	336	22	138	772
gru	плохая_примета	69	1004	10	179	1240
gru	разве_можно	66	927	2	170	986
lstm	вредно	51	694	3	140	888
lstm	запрещено	61	983	3	149	851
lstm	исключено	57	1044	7	159	836
lstm	не_делай	61	647	16	205	1519
lstm	не_надо	60	870	11	157	842
lstm	не_нужно	59	871	15	161	926
lstm	не_следует	55	634	9	150	770
lstm	не_стоит	55	701	19	198	1165
lstm	нельзя	29	236	37	189	1062
lstm	плохая_примета	70	866	9	228	1409
lstm	разве_можно	66	856	2	160	960
